slug,name,description,price,salePrice,brand,stock,categorySlug,images
network-programmability-and-automation-skills-for-the-next-generation-network-engineer,Network Programmability and Automation: Skills for the Next-Generation Network Engineer,"Network Programmability and Automation will help you automate tasks involved in configuring, managing, and operating network equipment, topologies, services, and connectivity. Through the course of the book, you'll learn the basic skills and tools you need to make this critical transition.",250000,,,4,networking,/images/network-programmability-and-automation-skills-for-the-next-generation-network-engineer.png
practical-packet-analysis-threerd-edition,"Practical Packet Analysis, 3rd Edition: Using Wireshark to Solve Real-World Network Problems","Updated to cover Wireshark 2.x, the third edition of Practical Packet Analysis will teach you to make sense of your packet captures so that you can better troubleshoot network problems. You�ll find added coverage of IPv6 and SMTP, a new chapter on the powerful command line packet analyzers tcpdump and TShark, and an appendix on how to read and reference packet values using a packet map.",487000,478000,,15,networking,/images/practical-packet-analysis-threerd-edition.png
the-practice-of-network-security-monitoring,The Practice of Network Security Monitoring: Understanding Incident Detection and Response,,256000,,,16,networking,/images/the-practice-of-network-security-monitoring.png
linux-basics-for-hackers-twon-edition,"Linux Basics for Hackers, 2nd Edition: Getting Started with Networking, Scripting, and Security in Kali","If you�re just getting started along the exciting path of hacking, cybersecurity, and pentesting, Linux Basics for Hackers is an excellent introduction. With Kali Linux, an operating system designed for digital forensics and penetration testing, you�ll learn the basics of using Linux and acquire the tools and techniques you�ll need to take control of a Linux environment.",452000,,,11,pwnable,/images/linux-basics-for-hackers-twon-edition.png
the-shellcoder-handbook,The Shellcoder's Handbook: Discovering and Exploiting Security Holes,"This much-anticipated revision, written by the ultimate group of top security experts in the world, features 40 percent new content on how to find security holes in any operating system or application",288000,267000,No Starch Press,12,pwnable,/images/the-shellcoder-handbook.png
hacking-the-art-of-exploitation,"Hacking: The Art of Exploitation, 2nd Edition","Hacking is the art of creative problem solving, whether that means finding an unconventional solution to a difficult problem or exploiting holes in sloppy programming. Many people call themselves hackers, but few have the strong technical foundation needed to really push the envelope.",224000,,No Starch Press,9,pwnable,/images/hacking-the-art-of-exploitation.png
linux-kernel-programming,"Linux Kernel Programming: A comprehensive and practical guide to kernel internals, writing modules, and kernel synchronization",Gain a solid practical understanding and sufficient theoretical insight into Linux kernel internals while learning to write high-quality kernel module code and understanding the complexities of kernel synchronization,237000,,No Starch Press,8,pwnable,/images/linux-kernel-programming.png
linux-kernel-debugging,Linux Kernel Debugging: Leverage proven tools and advanced techniques to effectively debug Linux kernels and kernel modules,"The Linux kernel is at the very core of arguably the world�s best production-quality OS. Debugging it, though, can be a complex endeavor.",235000,,No Starch Press,16,pwnable,/images/linux-kernel-debugging.png
designing-bsd-rootkits,Designing BSD Rootkits: An Introduction to Kernel Hacking,"Though rootkits have a fairly negative image, they can be used for both good and evil. Designing BSD Rootkits arms you with the knowledge you need to write offensive rootkits, to defend against malicious ones, and to explore the FreeBSD kernel and operating system in the process.",408805,405000,No Starch Press,20,pwnable,/images/designing-bsd-rootkits.png
practical-binary-analysis,"Practical Binary Analysis: Build Your Own Linux Tools for Binary Instrumentation, Analysis, and Disassembly","This hands-on guide teaches you how to tackle the fascinating but challenging topics of binary analysis and instrumentation and helps you become proficient in an area typically only mastered by a small group of expert hackers. It will take you from basic concepts to state-of-the-art methods as you dig into topics like code injection, disassembly, dynamic taint analysis, and binary instrumentation. Written for security engineers, hackers, and those with a basic working knowledge of C/C++ and x86-64, Practical Binary Analysis will teach you in-depth how binary programs work and help you acquire the tools and techniques needed to gain more control and insight into binary programs.",3565100,355000,,21,pwnable,/images/practical-binary-analysis.png
malware-development-for-ethical-hackers,Malware Development for Ethical Hackers: Learn how to develop various types of malware to strengthen cybersecurity,"This book takes you on a journey through the intricate world of malware development, shedding light on the techniques and strategies employed by cybercriminals. As you progress, you�ll focus on the ethical considerations that ethical hackers must uphold. You�ll also gain practical experience in creating and implementing popular techniques encountered in real-world malicious applications, such as Carbanak, Carberp, Stuxnet, Conti, Babuk, and BlackCat ransomware. This book will also equip you with the knowledge and skills you need to understand and effectively combat malicious software.",261000,,No Starch Press,15,malware-analysis,/images/malware-development-for-ethical-hackers.png
practical-malware-analysis,Practical Malware Analysis: The Hands-On Guide to Dissecting Malicious Software,"For those who want to stay ahead of the latest malware, Practical Malware Analysis will teach you the tools and techniques used by professional analysts. With this book as your guide, you'll be able to safely analyze, debug, and disassemble any malicious software that comes your way.",462130,462000,,14,malware-analysis,/images/practical-malware-analysis.png
malware-analysis-digital-forensics-cybersecurity-and-incident-response,"Malware Analysis: Digital Forensics, Cybersecurity, And Incident Response","Are you ready to take your cybersecurity skills to the next level? Dive into our meticulously curated book bundle, ""Malware Analysis, Digital Forensics, Cybersecurity, and Incident Response,"" and become a true guardian of the digital realm",210000,,,30,malware-analysis,/images/malware-analysis-digital-forensics-cybersecurity-and-incident-response.png
maos,MAoS - Malware Analysis on Steroids: Fighting Malware to the Death - Real-World Threats and Reverse Engineering Tactics,"MAoS - Malware Analysis on Steroids is your end-to-end field guide to dissecting malware in the real world. Written by Uriel Kosayev - cybersecurity researcher, keynote speaker, and author of Antivirus Bypass Techniques - this book takes you far beyond labs and simulations. It delivers a complete A-to-Z dissection walkthrough: from the first byte of a suspicious file all the way through unpacking, persistence, obfuscation, payload logic, and attacker tradecraft. Nothing is skipped; nothing is sanitized.",920185,912000,,8,malware-analysis,/images/maos.png
the-ghidra-book,The Ghidra Book: The Definitive Guide,"The result of more than a decade of research and development within the NSA, the Ghidra platform was developed to address some of the agency's most challenging reverse-engineering problems. With the open-source release of this formerly restricted tool suite, one of the world's most capable disassemblers and intuitive decompilers is now in the hands of cybersecurity defenders everywhere -- and�The Ghidra Book�is the one and only guide you need to master it.",377000,,,18,reverse-engineering,/images/the-ghidra-book.png
the-ida-pro-book,"The IDA Pro Book, 2nd Edition: The Unofficial Guide to the World's Most Popular Disassembler","No source code? No problem. With IDA Pro, the interactive disassembler, you live in a source code-optional world. IDA can automatically analyze the millions of opcodes that make up an executable and present you with a disassembly. But at that point, your work is just beginning. With�The IDA Pro Book, you'll learn how to turn that mountain of mnemonics into something you can actually use.",665000,,,7,reverse-engineering,/images/the-ida-pro-book.png
practical-reverse-engineering,"Practical Reverse Engineering: x86, x64, ARM, Windows Kernel, Reversing Tools, and Obfuscation","The book covers x86, x64, and ARM (the first book to cover all three); Windows kernel-mode code rootkits and drivers; virtual machine protection techniques; and much more. Best of all, it offers a systematic approach to the material, with plenty of hands-on exercises and real-world examples.",831600,81000,,17,reverse-engineering,/images/practical-reverse-engineering.png
blue-fox,Blue Fox: Arm Assembly Internals and Reverse Engineering,Provides readers with a solid foundation in Arm assembly internals and reverse-engineering fundamentals as the basis for analyzing and securing billions of Arm devices,553400,543000,,23,reverse-engineering,/images/blue-fox.png
modern-assembly-language-programming,"Modern X86 Assembly Language Programming: Covers X86 64-bit, AVX, AVX2, and AVX-512","This book is an instructional text that will teach you how to code x86-64 assembly language functions. It also explains how you can exploit the SIMD capabilities of an x86-64 processor using x86-64 assembly language and the AVX, AVX2, and AVX-512 instruction sets.",367700,366000,,15,reverse-engineering,/images/modern-assembly-language-programming.png
reverse-engineers-field-manual,Reverse Engineers Field Manual: REFM,"Written by Totally_Not_A_Haxxer, the Reverse Engineer�s Field Manual (REFM) is a no-BS, hands-on guide for anyone fascinated by the art of taking things apart, digitally, that is. This isn�t a dry academic textbook; it�s a practical, occasionally sarcastic, and always straight-talking manual for aspiring and active reverse engineers, hackers, and cybersecurity tinkerers.",413120,413000,,14,reverse-engineering,/images/reverse-engineers-field-manual.png
software-reverse-engineering-cracking-and-counter-measures,"x86 Software Reverse-Engineering, Cracking, and Counter-Measures (Tech Today)","x86 Software Reverse-Engineering, Cracking, and Counter-Measures is centered around the world of disassembling software. It will start with the basics of the x86 assembly language, and progress to how that knowledge empowers you to reverse-engineer and circumvent software protections. No knowledge of assembly, reverse engineering, or software cracking is required.",985650,,No Starch Press,3,reverse-engineering,/images/software-reverse-engineering-cracking-and-counter-measures.png
reversing-secrets-of-reverse-engineering,Reversing: Secrets of Reverse Engineering,"Beginning with a basic primer on reverse engineering-including computer internals, operating systems, and assembly language-and then discussing the various applications of reverse engineering, this book provides readers with practical, in-depth techniques for software reverse engineering.",685900,,,2,reverse-engineering,/images/reversing-secrets-of-reverse-engineering.png
codebreaking,Codebreaking: A Practical Guide,If you liked Dan Brown�s Da Vinci Code�or want to solve similarly baffling cyphers yourself�this is the book for you! A thrilling exploration of history�s most vexing codes and ciphers that uses hands-on exercises to teach you the most popular historical encryption schemes and techniques for breaking them.,375000,366000,No Starch Press,19,cryptography,/images/codebreaking.png
the-mathematics-of-secrets,The Mathematics of Secrets: Cryptography from Caesar Ciphers to Digital Encryption,"The Mathematics of Secrets takes readers on a fascinating tour of the mathematics behind cryptography?the science of sending secret messages. Using a wide range of historical anecdotes and real-world examples, Joshua Holden shows how mathematical principles underpin the ways that different codes and ciphers work.",464299,462000,Princeton University Press,11,cryptography,/images/the-mathematics-of-secrets.png
the-code-book,The Code Book: The Science of Secrecy from Ancient Egypt to Quantum Cryptography,"Throughout the text are clear technical and mathematical explanations, and portraits of the remarkable personalities who wrote and broke the world's most difficult codes. Accessible, compelling, and remarkably far-reaching, this book will forever alter your view of history and what drives it.  It will also make you wonder how private that e-mail you just sent really is.",294722,291000,,18,cryptography,/images/the-code-book.png
an-introduction-to-mathematical-cryptography,An Introduction to Mathematical Cryptography,"This self-contained introduction to modern cryptography emphasizes the mathematics behind the theory of public key cryptosystems and digital signature schemes. The book focuses on these key topics while developing the mathematical tools needed for the construction and security analysis of diverse cryptosystems. Only basic linear algebra is required of the reader; techniques from algebra, number theory, and probability are introduced and developed as required. ",683150,600000,Springer,10,cryptography,/images/an-introduction-to-mathematical-cryptography.png
introduction-to-classical-and-quantum-computing,Introduction to Classical and Quantum Computing,"Introduction to Classical and Quantum Computing is for students who want to learn quantum computing beyond a conceptual level, but who lack advanced training in mathematics. The only prerequisite is trigonometry, and mathematics beyond that will be covered, including linear algebra. This book is suitable as a course textbook or for independent study.",394102,392000,,9,cryptography,/images/introduction-to-classical-and-quantum-computing.png
quantum-computing-an-applied-approach,Quantum Computing: An Applied Approach,This book integrates the foundations of quantum computing with a hands-on coding approach to this emerging field; it is the first to bring these elements together in an updated manner. This work is suitable for both academic coursework and corporate technical training.,543000,,,19,cryptography,/images/quantum-computing-an-applied-approach.png
programming-quantum-computers-essential-algorithms-and-code-samples,Programming Quantum Computers: Essential Algorithms and Code Samples,"Quantum computers are poised to kick-start a new computing revolution�and you can join in right away. If you�re in software engineering, computer graphics, data science, or just an intrigued computerphile, this book provides a hands-on programmer�s guide to understanding quantum computing. Rather than labor through math and theory, you�ll work directly with examples that demonstrate this technology�s unique capabilities.",340811,340000,,11,cryptography,/images/programming-quantum-computers-essential-algorithms-and-code-samples.png
the-art-of-invisibility,The Art of Invisibility: The World's Most Famous Hacker Teaches You How to Be Safe in the Age of Big Brother and Big Data,"In The Art of Invisibility, Kevin Mitnick, the world's most famous hacker, reveals the secrets of online privacy and anonymity, and shows you exactly what you need to do to protect yourself, your loved ones, and your assets from the prying eyes of hackers, corporations, and governments.",210000,199000,,22,privacy,/images/the-art-of-invisibility.png
